customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic
7590-VHVEG,0,0,1,0,-1.277444584,0,2,0,1,0,0,0,0,1,-1.160322916,-0.992610524,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
5575-GNVDE,1,0,0,0,0.066327419,1,,1,0,1,0,0,0,0,-0.259628942,-0.172164709,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3668-QPYBK,1,0,0,0,-1.23672422,1,,1,1,0,0,0,0,1,-0.362660356,-0.958065901,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7795-CFOCW,1,0,0,0,0.5142514200025698,0,2,1,0,1,1,0,0,0,-0.746535463,-0.193672376,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
9237-HQITU,0,0,0,0,-1.23672422,1,,0,0,0,0,0,0,1,0.19736523310080326,-0.938874444,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
9305-CDSKC,0,0,0,0,-0.992402038,1,,0,0,1,0,1,1,1,1.1595456961969886,-0.643789249,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1452-KIOVK,1,0,0,1,-0.422316946,1,,0,1,0,0,1,0,1,0.8089065291619363,-0.145737852,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
6713-OKOMC,0,0,0,0,-0.91096131,0,2,1,0,0,0,0,0,0,-1.16364651,-0.872586711,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7892-POOKP,0,0,1,0,-0.177994763,1,,0,0,1,1,1,1,1,1.330710787214099,0.33808539553347106,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6388-TABGU,1,0,0,1,1.2064976032430856,1,,1,1,0,0,0,0,0,-0.286217694,0.5330441272690194,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
9763-GRSKD,1,0,1,1,-0.788800219,1,,1,0,0,0,0,0,1,-0.492280522,-0.746606928,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
